# (0) ID (1) Max mass (2) seed formation time (3) GMC mass (4) GMC radius (5) GMC metallicity (6) ISRF (7) GMC virial parameter (8) GMC mass-to-flux ratio (9) seed (10) total stellar mass formed
# SFE: 0.0135407
# IMF params: -1.64654 -1.42741 -1.21166 18.6169
# 
2.554640000000000000e+05 9.154644608497619629e-02 1.322747475628232791e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
1.314426000000000000e+06 1.714778065681457520e+00 1.231854348843301403e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
8.445570000000000000e+06 1.087266921997070312e+01 1.226804730688582992e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
1.183129700000000000e+07 2.150459289550781250e+00 1.241953585152738224e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
1.836453900000000000e+07 5.256169438362121582e-01 1.221755112533864582e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
1.277505600000000000e+07 2.413029193878173828e+00 1.211655876224427761e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
2.519629000000000000e+06 4.286664128303527832e-01 1.282350530390485507e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
8.422402000000000000e+06 1.262690275907516479e-01 1.239428776075379018e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
1.096140200000000000e+07 1.426728963851928711e+00 1.264676866848971071e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
2.014699000000000000e+06 1.730285435914993286e-01 1.330321902860310407e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
1.187197200000000000e+07 9.140489101409912109e-01 1.330321902860310407e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
2.440128000000000000e+06 6.190604567527770996e-01 1.340421139169747228e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
8.877030000000000000e+06 9.966844320297241211e-02 1.236903966998019813e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
3.986700000000000000e+06 5.148399472236633301e-01 1.234379157920660608e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
1.207268600000000000e+07 7.265428543090820312e+00 1.219230303456505377e-02 2.000000000000000000e+04 1.000000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 2.000000000000000000e+00 1.328156617270719320e+00 4.200000000000000000e+01 2.708143005371093750e+02
